Name,color_wine,Price,ml,Rating,RatingNum,Country,ABV,img
Ego Bodegas Marionette 2017,Red Wine,9.99,750,0,0,Other Red Blends from Jumilla / Spain,14,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQRxpeWLwz_EsSw4dMw3MI4pRy__IFtg9PXV2aers6YRo8_Lng6RlPT6h8iCQ&s
Excelsior Chardonnay 2021,White Wine,9.99,750,4,9,Chardonnay from South Africa,13.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTxxc5T0Soo6UH55xFLEXk77JgSXt1j6vQ2PSq6UvvFgtq50MvBTtE6wefNEM4&s
Fetzer Chardonnay,White Wine,9.99,750,0,0,Chardonnay from California,13.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR6MMMHOTSNsZdLNhhoFGlcCpYvzy0dPcIIFh-uOJLIPB7NMUTBSCEc1CGr4g&s
Fortant Coast Select Cabernet Sauvignon 2019,Red Wine,9.99,750,3.6,6,Cabernet Sauvignon from Pays d’Oc / South of France / France,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRE9Cb-DrocIBccMcP8psOrqU00FLAeNDI2cECFtaeoDUudTtRvWfB19Khv8KM&s
Guenoc California Chardonnay 2020,White Wine,9.99,750,3.7,11,Chardonnay from California,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTFzrPRc6qXYQr1PWFYQmw8HaH-HWZwU6Wg5K6c-A_nlxrjQ4sq5cuEGPEYZ5E&s
Henriques First Press Ruby Red Rose,Pink and Rosé,9.99,750,4,137,Rosé from France,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRma-rB527FD8ky5aUmvpaVI8Hl1QMgERvVXLkfmg9S1Y6-u6WRRR8SJ75J3JA&s
Heredad Ugarte Onice Rioja 2019,Red Wine,9.99,750,4.2,43,Tempranillo from Rioja / Spain,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTJ1p_ShdxxxIwP-BSTuE--y6QxoV98qfY8ADTVGCkq40qPNRd4Qz7zWVLJbA&s
Honoro Vera Merlot 2020,Red Wine,9.99,750,0,0,Merlot from Jumilla / Spain,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHOVqurc9Ph3feoRVOrVc9pWbnYGlPNnTF3DW51cUuYw8D8ObvvMpvmekkBg&s
Jam Jar Sweet Blush,Pink and Rosé,9.99,750,3.9,16,Rosé from South Africa,10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ6G01qyRe-izx-8yck_ufr5oeDISvm-IfJnCtBB_CBFlMO1G-Ecsszyl2-qA&s
Jam Jar Sweet White 2021,White Wine,9.99,750,3.7,16,Other White Blends from South Africa,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQ1_vWzqYbqIK9MgV3LX4lFtKuwb-rZMu46arMZ5FCe8Do7IGC-CIMzyLTHA&s
Jaume Serra Cristalino Cava Extra Dry,Sparkling & Champagne,9.99,750,3.9,88,Non-Vintage Sparkling Wine from Cava / Spain,11.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRjUOH1MQ4gnS83rgoxMiy4ICB2bTz0O2zqs5e_WnDIJYy8iHUty4OdA-EpSQw&s
Jaume Serra Cristalino Cava Brut,Sparkling & Champagne,9.99,750,3.8,734,Non-Vintage Sparkling Wine from Cava / Spain,11.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT9zNq0WQhyY1pAzojN6Isdmc9NrhhQLXWXYno-tTd_Y61zRxQA1yLeaZdP5w&s
Le Cardinale Blanc de Blancs,Sparkling & Champagne,9.99,750,4.3,48,Non-Vintage Sparkling Wine from France,10.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRaB_hsnKaxDj8FfTlDK2jqWzSCraP7r-W45XIPDGbx5iaVY96yHo_3zWEvJqo&s
Louis Jadot Beaujolais Villages (375ML half-bottle) 2021,Red Wine,9.99,375,0,0,Gamay from Beaujolais / Burgundy / France,13,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgcu7rA5A_bsriS2y72BK_hA6EZEsyyFYOAEZPhGQBraV0h_guLDfy-zsavt4&s
Mionetto il Moscato Dolce,Sparkling & Champagne,9.99,750,3.9,80,Non-Vintage Sparkling Wine from Veneto / Italy,7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1F34vy1JARd4YdaBv2mzaEfVtLfh8C_76ZRtDTc1q9g6iXUTeFWY4gyQxeA&s
Mirassou Pinot Noir 2020,Red Wine,9.99,750,3.7,9,Pinot Noir from California,13.9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT0ZphROVIWfLR6nPq-880QpBlWoj1CjXV80YPhnYKM2XJBkf62F3nOOAVCf38&s
Mirassou Cabernet Sauvignon 2019,Red Wine,9.99,750,4.2,9,Cabernet Sauvignon from California,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQK4NBP_K5TZj7g2RXoR0NlX8n6MDENaBSVBXCgGf3G1wolnrPFoPuvPWCkXA&s
